,game_time,game_date,arena,home_team,home_wins,home_losses,away_team,away_wins,away_losses,attendance
900,0 days 19:30:00,2018-02-26,Madison Square Garden (IV),New York Knicks,24,38,Golden State Warriors,47,14,19812
901,0 days 20:00:00,2018-02-26,Chesapeake Energy Arena,Oklahoma City Thunder,35,27,Orlando Magic,18,42,18203
902,0 days 22:00:00,2018-02-26,Golden 1 Center,Sacramento Kings,18,42,Minnesota Timberwolves,38,26,17583
903,0 days 19:30:00,2018-02-26,Air Canada Centre,Toronto Raptors,42,17,Detroit Pistons,28,32,19800
904,0 days 21:00:00,2018-02-26,Vivint Smart Home Arena,Utah Jazz,31,30,Houston Rockets,47,13,18306
905,0 days 19:00:00,2018-02-27,Spectrum Center,Charlotte Hornets,28,33,Chicago Bulls,20,41,14521
906,0 days 19:00:00,2018-02-27,Quicken Loans Arena,Cleveland Cavaliers,36,24,Brooklyn Nets,20,42,20562
907,0 days 22:30:00,2018-02-27,Pepsi Center,Denver Nuggets,33,28,Los Angeles Clippers,32,27,15004
908,0 days 19:30:00,2018-02-27,AmericanAirlines Arena,Miami Heat,32,29,Philadelphia 76ers,32,27,19600
909,0 days 20:00:00,2018-02-27,BMO Harris Bradley Center,Milwaukee Bucks,33,27,Washington Wizards,36,25,16093
910,0 days 22:00:00,2018-02-27,Moda Center,Portland Trail Blazers,35,26,Sacramento Kings,18,43,19468
911,0 days 19:30:00,2018-02-28,Philips Arena,Atlanta Hawks,19,43,Indiana Pacers,34,27,13316
